"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2001","152.66","152.66","152.66","152.66","","-0.20%"
"02/08/2001","152.97","152.97","152.97","152.97","","0.20%"
"02/07/2001","152.66","152.66","152.66","152.66","","0.44%"
"02/06/2001","151.99","151.99","151.99","151.99","","-0.31%"
"02/05/2001","152.47","152.47","152.47","152.47","","1.01%"
"02/02/2001","150.95","150.95","150.95","150.95","","-0.56%"
"02/01/2001","151.80","151.80","151.80","151.80","","-0.03%"
"01/31/2001","151.85","151.85","151.85","151.85","","-0.58%"
"01/30/2001","152.74","152.74","152.74","152.74","","-0.04%"
"01/29/2001","152.80","152.80","152.80","152.80","","-1.24%"
"01/26/2001","154.72","154.72","154.72","154.72","","0.34%"
"01/25/2001","154.19","154.19","154.19","154.19","","0.08%"
"01/24/2001","154.06","154.06","154.06","154.06","","0.10%"
"01/23/2001","153.90","153.90","153.90","153.90","","-0.01%"
"01/22/2001","153.91","153.91","153.91","153.91","","0.03%"
"01/19/2001","153.87","153.87","153.87","153.87","","-0.90%"
"01/18/2001","155.26","155.26","155.26","155.26","","0.55%"
"01/17/2001","154.41","154.41","154.41","154.41","","-0.37%"
"01/16/2001","154.99","154.99","154.99","154.99","","-0.25%"
"01/15/2001","155.38","155.38","155.38","155.38","","0.36%"
"01/12/2001","154.83","154.83","154.83","154.83","","0.26%"
"01/11/2001","154.43","154.43","154.43","154.43","","0.70%"
"01/10/2001","153.36","153.36","153.36","153.36","","1.36%"
"01/09/2001","151.30","151.30","151.30","151.30","","-0.86%"
"01/08/2001","152.61","152.61","152.61","152.61","","0.06%"
"01/05/2001","152.52","152.52","152.52","152.52","","-0.06%"
"01/04/2001","152.61","152.61","152.61","152.61","","-0.57%"
"01/03/2001","153.49","153.49","153.49","153.49","","-0.58%"
"01/02/2001","154.39","154.39","154.39","154.39","","1.02%"
"12/29/2000","152.83","152.83","152.83","152.83","","1.01%"
"12/28/2000","151.30","151.30","151.30","151.30","","-0.49%"
"12/27/2000","152.05","152.05","152.05","152.05","","0.50%"
"12/26/2000","151.29","151.29","151.29","151.29","","1.22%"
"12/25/2000","149.47","149.47","149.47","149.47","","0.01%"
"12/22/2000","149.46","149.46","149.46","149.46","","0.76%"
"12/21/2000","148.34","148.34","148.34","148.34","","0.88%"
"12/20/2000","147.04","147.04","147.04","147.04","","0.71%"
"12/19/2000","146.00","146.00","146.00","146.00","","0.29%"
"12/18/2000","145.58","145.58","145.58","145.58","","-0.21%"
"12/15/2000","145.89","145.89","145.89","145.89","","0.41%"
"12/14/2000","145.29","145.29","145.29","145.29","","0.91%"
"12/13/2000","143.98","143.98","143.98","143.98","","0.02%"
"12/12/2000","143.95","143.95","143.95","143.95","","0.81%"
"12/11/2000","142.80","142.80","142.80","142.80","","-0.72%"
"12/08/2000","143.83","143.83","143.83","143.83","","-0.75%"
"12/07/2000","144.92","144.92","144.92","144.92","","0.00%"
"12/06/2000","144.92","144.92","144.92","144.92","","0.00%"
"12/05/2000","144.92","144.92","144.92","144.92","","-1.56%"
"12/04/2000","147.21","147.21","147.21","147.21","","0.75%"
"12/01/2000","146.12","146.12","146.12","146.12","","-0.49%"
"11/30/2000","146.84","146.84","146.84","146.84","","1.07%"
"11/29/2000","145.28","145.28","145.28","145.28","","1.27%"
"11/28/2000","143.46","143.46","143.46","143.46","","0.01%"
"11/27/2000","143.45","143.45","143.45","143.45","","-0.17%"
"11/24/2000","143.70","143.70","143.70","143.70","","-0.42%"
"11/23/2000","144.30","144.30","144.30","144.30","","1.45%"
"11/22/2000","142.24","142.24","142.24","142.24","","0.94%"
"11/21/2000","140.91","140.91","140.91","140.91","","0.95%"
"11/20/2000","139.59","139.59","139.59","139.59","","1.08%"
"11/17/2000","138.10","138.10","138.10","138.10","","0.29%"
"11/16/2000","137.70","137.70","137.70","137.70","","0.22%"
"11/15/2000","137.40","137.40","137.40","137.40","","-0.01%"
"11/14/2000","137.42","137.42","137.42","137.42","","-0.18%"
"11/13/2000","137.67","137.67","137.67","137.67","","0.36%"
"11/10/2000","137.18","137.18","137.18","137.18","","0.39%"
"11/09/2000","136.65","136.65","136.65","136.65","","-0.34%"
"11/08/2000","137.12","137.12","137.12","137.12","","-0.23%"
"11/07/2000","137.43","137.43","137.43","137.43","","0.36%"
"11/06/2000","136.94","136.94","136.94","136.94","","-0.12%"
"11/03/2000","137.11","137.11","137.11","137.11","","-0.04%"
"11/02/2000","137.16","137.16","137.16","137.16","","-0.13%"
"11/01/2000","137.34","137.34","137.34","137.34","","-0.06%"
"10/31/2000","137.42","137.42","137.42","137.42","","-0.08%"
"10/30/2000","137.53","137.53","137.53","137.53","","0.18%"
"10/27/2000","137.28","137.28","137.28","137.28","","0.26%"
"10/26/2000","136.92","136.92","136.92","136.92","","-0.44%"
"10/25/2000","137.53","137.53","137.53","137.53","","0.18%"
"10/24/2000","137.28","137.28","137.28","137.28","","-0.36%"
"10/23/2000","137.77","137.77","137.77","137.77","","0.70%"
"10/20/2000","136.81","136.81","136.81","136.81","","0.26%"
"10/19/2000","136.45","136.45","136.45","136.45","","-0.79%"
"10/18/2000","137.53","137.53","137.53","137.53","","0.36%"
"10/17/2000","137.04","137.04","137.04","137.04","","0.53%"
"10/16/2000","136.32","136.32","136.32","136.32","","-0.18%"
"10/13/2000","136.56","136.56","136.56","136.56","","0.80%"
"10/12/2000","135.47","135.47","135.47","135.47","","-0.09%"
"10/11/2000","135.59","135.59","135.59","135.59","","0.18%"
"10/10/2000","135.34","135.34","135.34","135.34","","0.31%"
"10/09/2000","134.92","134.92","134.92","134.92","","-0.04%"
"10/06/2000","134.98","134.98","134.98","134.98","","-0.03%"
"10/05/2000","135.02","135.02","135.02","135.02","","-0.15%"
"10/04/2000","135.22","135.22","135.22","135.22","","0.09%"
"10/03/2000","135.10","135.10","135.10","135.10","","0.03%"
"10/02/2000","135.06","135.06","135.06","135.06","","0.28%"
